Calendar_Year,Calendar_Month,Date,Mode,Average_Daily_Ridership,Source,ObjectId,Agency
2024,9,Sep-24,Trolley,61949,APC,413,SEPTA
2024,9,Sep-24,Trackless Trolley,13804,APC,414,SEPTA
2024,10,Oct-24,Bus,405318,APC,415,SEPTA
2024,10,Oct-24,CCT,3236,Revenue,416,SEPTA
2024,10,Oct-24,Regional Rail,87030,Revenue,417,SEPTA
2024,10,Oct-24,Heavy Rail,230653,Revenue,418,SEPTA
2024,10,Oct-24,Trolley,61634,APC,419,SEPTA
2024,10,Oct-24,Trackless Trolley,13741,APC,420,SEPTA
2024,11,Nov-24,Bus,382848,APC,421,SEPTA
2024,11,Nov-24,CCT,3145,Revenue,422,SEPTA
2024,11,Nov-24,Regional Rail,86498,Revenue,423,SEPTA
2024,11,Nov-24,Heavy Rail,222197,Revenue,424,SEPTA
2024,11,Nov-24,Trolley,57629,APC,425,SEPTA
2024,11,Nov-24,Trackless Trolley,12902,APC,426,SEPTA
2024,12,Dec-24,Bus,350305,APC,427,SEPTA
2024,12,Dec-24,CCT,3100,Revenue,428,SEPTA
2024,12,Dec-24,Regional Rail,80600,Revenue,429,SEPTA
2024,12,Dec-24,Heavy Rail,204500,Revenue,430,SEPTA
2024,12,Dec-24,Trolley,52008,APC,431,SEPTA
2024,12,Dec-24,Trackless Trolley,11359,APC,432,SEPTA
2025,1,Jan-25,Bus,354820,APC,433,SEPTA
2025,1,Jan-25,CCT,2831,Revenue,434,SEPTA
2025,1,Jan-25,Regional Rail,76737,Revenue,435,SEPTA
2025,1,Jan-25,Heavy Rail,205867,Revenue,436,SEPTA
2025,1,Jan-25,Trolley,53668,APC,437,SEPTA
2025,1,Jan-25,Trackless Trolley,11926,APC,438,SEPTA
2025,2,Feb-25,Bus,375744,APC,439,SEPTA
2025,2,Feb-25,CCT,2300,Revenue,440,SEPTA
2025,2,Feb-25,Regional Rail,88400,Revenue,441,SEPTA
2025,2,Feb-25,Heavy Rail,217100,Revenue,442,SEPTA
2025,2,Feb-25,Trolley,58386,APC,443,SEPTA
2025,2,Feb-25,Trackless Trolley,12007,APC,444,SEPTA
2025,3,Mar-25,Bus,382227,APC,445,SEPTA
2025,3,Mar-25,CCT,3200,Revenue,446,SEPTA
2025,3,Mar-25,Regional Rail,84800,Revenue,447,SEPTA
2025,3,Mar-25,Heavy Rail,204400,Revenue,448,SEPTA
2025,3,Mar-25,Trolley,59188,APC,449,SEPTA
2025,3,Mar-25,Trackless Trolley,12691,APC,450,SEPTA
2025,4,Apr-25,Bus,377072,APC,451,SEPTA
2025,4,Apr-25,CCT,3100,Revenue,452,SEPTA
2025,4,Apr-25,Regional Rail,84300,Revenue,453,SEPTA
2025,4,Apr-25,Heavy Rail,214900,Revenue,454,SEPTA
2025,4,Apr-25,Trolley,58964,APC,455,SEPTA
2025,4,Apr-25,Trackless Trolley,12342,APC,456,SEPTA
2025,6,Jun-25,Heavy Rail,253877,,,MBTA
2025,06,Jun-25,All Bus,255534,,,MBTA
2025,06,Jun-25,Commuter Rail,80810,,,MBTA
2025,03,Mar-25,All Bus,253196,,,MBTA
2025,03,Mar-25,Commuter Rail,78396,,,MBTA
2025,01,Jan-25,Heavy Rail,238564,,,MBTA
2025,01,Jan-25,All Bus,245850,,,MBTA
2025,01,Jan-25,Commuter Rail,75746,,,MBTA
2025,05,May-25,Heavy Rail,267878,,,MBTA
2025,04,Apr-25,All Bus,265813,,,MBTA
2025,04,Apr-25,Commuter Rail,84095,,,MBTA
2025,03,Mar-25,Heavy Rail,255049,,,MBTA
2025,02,Feb-25,Heavy Rail,255582,,,MBTA
2025,02,Feb-25,All Bus,257178,,,MBTA
2025,02,Feb-25,Commuter Rail,75692,,,MBTA
2025,05,May-25,All Bus,260944,,,MBTA
2025,05,May-25,Commuter Rail,81411,,,MBTA
2025,04,Apr-25,Heavy Rail,278465,,,MBTA
2024,12,Dec-24,Heavy Rail,224229,,,MBTA
2024,12,Dec-24,All Bus,233141,,,MBTA
2024,12,Dec-24,Commuter Rail,72128,,,MBTA
2024,11,Nov-24,Heavy Rail,227292,,,MBTA
2024,11,Nov-24,All Bus,254912,,,MBTA
2024,11,Nov-24,Commuter Rail,79017,,,MBTA
2024,07,Jul-24,Heavy Rail,233623,,,MBTA
2024,07,Jul-24,All Bus,255553,,,MBTA
2024,07,Jul-24,Commuter Rail,87253,,,MBTA
2024,09,Sep-24,Heavy Rail,257818,,,MBTA
2024,09,Sep-24,All Bus,273118,,,MBTA
2024,09,Sep-24,Commuter Rail,86942,,,MBTA
2024,05,May-24,Heavy Rail,230622,,,MBTA
2024,05,May-24,All Bus,267345,,,MBTA
2024,05,May-24,Commuter Rail,86392,,,MBTA
2024,08,Aug-24,Heavy Rail,226978,,,MBTA
2024,08,Aug-24,All Bus,254798,,,MBTA
2024,08,Aug-24,Commuter Rail,84971,,,MBTA
2024,06,Jun-24,Heavy Rail,221807,,,MBTA
2024,06,Jun-24,All Bus,253636,,,MBTA
2024,06,Jun-24,Commuter Rail,85792,,,MBTA
2024,04,Apr-24,Heavy Rail,240364,,,MBTA
2024,04,Apr-24,All Bus,260543,,,MBTA
2024,04,Apr-24,Commuter Rail,84716,,,MBTA
2024,10,Oct-24,Heavy Rail,270637,,,MBTA
2024,10,Oct-24,All Bus,284894,,,MBTA
2024,10,Oct-24,Commuter Rail,93292,,,MBTA
2024,01,Jan-24,Heavy Rail,218162,,,MBTA
2024,01,Jan-24,All Bus,230013,,,MBTA
2024,01,Jan-24,Commuter Rail,76012,,,MBTA
2023,11,Nov-23,Heavy Rail,233786,,,MBTA
2023,11,Nov-23,All Bus,250395,,,MBTA
2023,11,Nov-23,Commuter Rail,78090,,,MBTA
2024,03,Mar-24,Heavy Rail,222873,,,MBTA
2024,03,Mar-24,All Bus,255459,,,MBTA
2024,03,Mar-24,Commuter Rail,79258,,,MBTA
2023,12,Dec-23,Heavy Rail,211226,,,MBTA
2023,12,Dec-23,All Bus,224864,,,MBTA
2023,12,Dec-23,Commuter Rail,73059,,,MBTA
2023,10,Oct-23,Heavy Rail,251141,,,MBTA
2023,10,Oct-23,All Bus,266590,,,MBTA
2023,10,Oct-23,Commuter Rail,82194,,,MBTA
2023,08,Aug-23,Heavy Rail,246015,,,MBTA
2023,08,Aug-23,All Bus,243318,,,MBTA
2023,08,Aug-23,Commuter Rail,77312,,,MBTA
2024,02,Feb-24,Heavy Rail,215056,,,MBTA
2024,02,Feb-24,All Bus,249330,,,MBTA
2024,02,Feb-24,Commuter Rail,79014,,,MBTA
2023,09,Sep-23,Heavy Rail,247289,,,MBTA
2023,09,Sep-23,All Bus,258003,,,MBTA
2023,09,Sep-23,Commuter Rail,70594,,,MBTA
2023,06,Jun-23,Heavy Rail,245050,,,MBTA
2023,06,Jun-23,All Bus,246226,,,MBTA
2023,06,Jun-23,Commuter Rail,76274,,,MBTA
2023,02,Feb-23,All Bus,222709,,,MBTA
2023,02,Feb-23,Commuter Rail,60877,,,MBTA
2023,07,Jul-23,Heavy Rail,236029,,,MBTA
2023,07,Jul-23,All Bus,231854,,,MBTA
2023,05,May-23,Heavy Rail,242668,,,MBTA
2023,05,May-23,All Bus,254890,,,MBTA
2023,05,May-23,Commuter Rail,74775,,,MBTA
2023,07,Jul-23,Commuter Rail,70561,,,MBTA
2023,01,Jan-23,Heavy Rail,215701,,,MBTA
2023,02,Feb-23,Heavy Rail,221925,,,MBTA
2023,01,Jan-23,All Bus,216194,,,MBTA
2023,01,Jan-23,Commuter Rail,59371,,,MBTA
2023,03,Mar-23,Heavy Rail,233616,,,MBTA
2023,03,Mar-23,All Bus,245500,,,MBTA
2023,03,Mar-23,Commuter Rail,67953,,,MBTA
2023,04,Apr-23,Heavy Rail,229925,,,MBTA
2023,04,Apr-23,All Bus,237283,,,MBTA
2023,04,Apr-23,Commuter Rail,69179,,,MBTA
2022,11,Nov-22,Heavy Rail,245236,,,MBTA
2022,12,Dec-22,Heavy Rail,211480,,,MBTA
2022,11,Nov-22,All Bus,236736,,,MBTA
2022,11,Nov-22,Commuter Rail,63784,,,MBTA
2022,12,Dec-22,All Bus,208956,,,MBTA
2022,12,Dec-22,Commuter Rail,56531,,,MBTA
2022,08,Aug-22,Heavy Rail,211773,,,MBTA
2022,06,Jun-22,Heavy Rail,248441,,,MBTA
2022,06,Jun-22,All Bus,233369,,,MBTA
2022,06,Jun-22,Commuter Rail,54324,,,MBTA
2022,08,Aug-22,All Bus,229718,,,MBTA
2022,08,Aug-22,Commuter Rail,60512,,,MBTA
2022,07,Jul-22,Heavy Rail,232593,,,MBTA
2022,05,May-22,Heavy Rail,229551,,,MBTA
2022,09,Sep-22,Heavy Rail,211006,,,MBTA
2022,09,Sep-22,All Bus,247045,,,MBTA
2022,09,Sep-22,Commuter Rail,65177,,,MBTA
2022,05,May-22,All Bus,227375,,,MBTA
2022,07,Jul-22,All Bus,216103,,,MBTA
2022,05,May-22,Commuter Rail,49256,,,MBTA
2022,07,Jul-22,Commuter Rail,50137,,,MBTA
2022,10,Oct-22,Heavy Rail,255349,,,MBTA
2022,10,Oct-22,All Bus,244907,,,MBTA
2022,10,Oct-22,Commuter Rail,67931,,,MBTA
2021,10,Oct-21,Heavy Rail,242297,,,MBTA
2021,10,Oct-21,All Bus,223045,,,MBTA
2021,10,Oct-21,Commuter Rail,43922,,,MBTA
2022,02,Feb-22,Heavy Rail,206595,,,MBTA
2022,02,Feb-22,All Bus,199890,,,MBTA
2022,02,Feb-22,Commuter Rail,34646,,,MBTA
2021,12,Dec-21,Heavy Rail,197086,,,MBTA
2021,12,Dec-21,All Bus,195910,,,MBTA
2021,12,Dec-21,Commuter Rail,36819,,,MBTA
2022,03,Mar-22,Heavy Rail,233869,,,MBTA
2022,04,Apr-22,Heavy Rail,236631,,,MBTA
2022,01,Jan-22,Heavy Rail,159089,,,MBTA
2022,03,Mar-22,All Bus,226760,,,MBTA
2022,04,Apr-22,All Bus,221653,,,MBTA
2022,03,Mar-22,Commuter Rail,48063,,,MBTA
2022,04,Apr-22,Commuter Rail,50309,,,MBTA
2022,01,Jan-22,All Bus,167108,,,MBTA
2022,01,Jan-22,Commuter Rail,27380,,,MBTA
2021,11,Nov-21,Heavy Rail,226106,,,MBTA
2021,11,Nov-21,All Bus,217728,,,MBTA
2021,11,Nov-21,Commuter Rail,43894,,,MBTA
2021,09,Sep-21,Heavy Rail,242141,,,MBTA
2021,09,Sep-21,All Bus,223274,,,MBTA
2021,09,Sep-21,Commuter Rail,37859,,,MBTA
2021,03,Mar-21,Commuter Rail,11255,,,MBTA
2021,02,Feb-21,All Bus,135074,,,MBTA
2021,02,Feb-21,Commuter Rail,9184,,,MBTA
2021,07,Jul-21,Heavy Rail,190774,,,MBTA
2021,07,Jul-21,All Bus,181327,,,MBTA
2021,07,Jul-21,Commuter Rail,24888,,,MBTA
2021,02,Feb-21,Heavy Rail,111743,,,MBTA
2021,01,Jan-21,Heavy Rail,104011,,,MBTA
2021,08,Aug-21,Heavy Rail,200120,,,MBTA
2021,06,Jun-21,Heavy Rail,177859,,,MBTA
2021,04,Apr-21,Heavy Rail,136317,,,MBTA
2021,05,May-21,Heavy Rail,150844,,,MBTA
2021,03,Mar-21,Heavy Rail,123983,,,MBTA
2021,05,May-21,All Bus,166094,,,MBTA
2021,05,May-21,Commuter Rail,17357,,,MBTA
2021,08,Aug-21,All Bus,189638,,,MBTA
2021,08,Aug-21,Commuter Rail,27757,,,MBTA
2021,04,Apr-21,All Bus,159103,,,MBTA
2021,04,Apr-21,Commuter Rail,13546,,,MBTA
2021,06,Jun-21,All Bus,183985,,,MBTA
2021,06,Jun-21,Commuter Rail,22753,,,MBTA
2021,03,Mar-21,All Bus,151683,,,MBTA
2020,08,Aug-20,All Bus,137639,,,MBTA
2020,08,Aug-20,Commuter Rail,9951,,,MBTA
2020,06,Jun-20,Commuter Rail,3980,,,MBTA
2020,10,Oct-20,All Bus,150304,,,MBTA
2021,01,Jan-21,All Bus,124976,,,MBTA
2020,10,Oct-20,Commuter Rail,13169,,,MBTA
2021,01,Jan-21,Commuter Rail,8256,,,MBTA
2020,12,Dec-20,All Bus,132433,,,MBTA
2020,11,Nov-20,All Bus,139501,,,MBTA
2020,09,Sep-20,All Bus,150793,,,MBTA
2020,09,Sep-20,Commuter Rail,11533,,,MBTA
2020,08,Aug-20,Heavy Rail,107440,,,MBTA
2020,12,Dec-20,Commuter Rail,10559,,,MBTA
2020,11,Nov-20,Commuter Rail,12912,,,MBTA
2020,05,May-20,Heavy Rail,43374,,,MBTA
2020,05,May-20,All Bus,93061,,,MBTA
2020,05,May-20,Commuter Rail,2003,,,MBTA
2020,07,Jul-20,Heavy Rail,98972,,,MBTA
2020,11,Nov-20,Heavy Rail,114246,,,MBTA
2020,07,Jul-20,All Bus,140073,,,MBTA
2020,07,Jul-20,Commuter Rail,8836,,,MBTA
2020,12,Dec-20,Heavy Rail,102237,,,MBTA
2020,09,Sep-20,Heavy Rail,128381,,,MBTA
2020,10,Oct-20,Heavy Rail,129126,,,MBTA
2020,06,Jun-20,Heavy Rail,74655,,,MBTA
2020,06,Jun-20,All Bus,122802,,,MBTA
2020,03,Mar-20,Heavy Rail,215701,,,MBTA
2020,03,Mar-20,All Bus,198232,,,MBTA
2020,03,Mar-20,Commuter Rail,33792,,,MBTA
2020,01,Jan-20,Heavy Rail,422253,,,MBTA
2020,01,Jan-20,All Bus,315839,,,MBTA
2020,01,Jan-20,Commuter Rail,88770,,,MBTA
2020,02,Feb-20,Heavy Rail,411801,,,MBTA
2019,09,Sep-19,Heavy Rail,464370,,,MBTA
2019,09,Sep-19,All Bus,332740,,,MBTA
2019,09,Sep-19,Commuter Rail,85130,,,MBTA
2020,04,Apr-20,Heavy Rail,39911,,,MBTA
2019,12,Dec-19,Heavy Rail,373397,,,MBTA
2019,10,Oct-19,Heavy Rail,464280,,,MBTA
2019,11,Nov-19,Heavy Rail,407234,,,MBTA
2020,02,Feb-20,All Bus,318800,,,MBTA
2020,02,Feb-20,Commuter Rail,83310,,,MBTA
2020,04,Apr-20,All Bus,78521,,,MBTA
2020,04,Apr-20,Commuter Rail,1834,,,MBTA
2019,12,Dec-19,All Bus,290274,,,MBTA
2019,10,Oct-19,All Bus,351725,,,MBTA
2019,11,Nov-19,All Bus,321034,,,MBTA
2019,12,Dec-19,Commuter Rail,86452,,,MBTA
2019,10,Oct-19,Commuter Rail,93919,,,MBTA
2019,11,Nov-19,Commuter Rail,93240,,,MBTA
2019,02,Feb-19,All Bus,307870,,,MBTA
2019,02,Feb-19,Commuter Rail,85173,,,MBTA
2019,01,Jan-19,Heavy Rail,398931,,,MBTA
2019,07,Jul-19,All Bus,314975,,,MBTA
2019,06,Jun-19,All Bus,316647,,,MBTA
2019,07,Jul-19,Commuter Rail,86125,,,MBTA
2019,05,May-19,All Bus,331842,,,MBTA
2019,06,Jun-19,Commuter Rail,82197,,,MBTA
2019,05,May-19,Commuter Rail,87168,,,MBTA
2019,04,Apr-19,All Bus,329252,,,MBTA
2019,04,Apr-19,Commuter Rail,89657,,,MBTA
2019,03,Mar-19,All Bus,314877,,,MBTA
2019,03,Mar-19,Commuter Rail,84801,,,MBTA
2019,08,Aug-19,Commuter Rail,90344,,,MBTA
2019,05,May-19,Heavy Rail,449009,,,MBTA
2019,03,Mar-19,Heavy Rail,415861,,,MBTA
2019,08,Aug-19,Heavy Rail,439577,,,MBTA
2019,06,Jun-19,Heavy Rail,434098,,,MBTA
2019,04,Apr-19,Heavy Rail,450028,,,MBTA
2019,08,Aug-19,All Bus,316766,,,MBTA
2019,02,Feb-19,Heavy Rail,412429,,,MBTA
2019,07,Jul-19,Heavy Rail,448255,,,MBTA
2018,07,Jul-18,Heavy Rail,429307,,,MBTA
2018,07,Jul-18,All Bus,306524,,,MBTA
2018,07,Jul-18,Commuter Rail,83352,,,MBTA
2019,01,Jan-19,All Bus,297912,,,MBTA
2019,01,Jan-19,Commuter Rail,87272,,,MBTA
2018,12,Dec-18,Heavy Rail,367930,,,MBTA
2018,10,Oct-18,All Bus,347879,,,MBTA
2018,10,Oct-18,Commuter Rail,91054,,,MBTA
2018,09,Sep-18,Heavy Rail,432830,,,MBTA
2018,09,Sep-18,All Bus,324114,,,MBTA
2018,09,Sep-18,Commuter Rail,78960,,,MBTA
2018,08,Aug-18,Heavy Rail,430831,,,MBTA
2018,08,Aug-18,All Bus,319777,,,MBTA
2018,08,Aug-18,Commuter Rail,88029,,,MBTA
2018,12,Dec-18,All Bus,281708,,,MBTA
2018,12,Dec-18,Commuter Rail,80743,,,MBTA
2018,11,Nov-18,Heavy Rail,424318,,,MBTA
2018,11,Nov-18,All Bus,319036,,,MBTA
2018,11,Nov-18,Commuter Rail,86450,,,MBTA
2018,10,Oct-18,Heavy Rail,469990,,,MBTA
